ticker,cik,form,fy,fp,filed,accn,end,start,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2015-01-25,2014-01-27,4682000000,631000000,1.14,1.12,759000000,2599000000,1360000000,480000000,null,null,null,null,906000000,null,null,null,2083000000,1840000000,124000000,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2015-01-25,2014-10-27,1251000000,193000000,0.35,0.35,null,699000000,null,null,null,null,null,null,null,null,null,null,552000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2015-04-26,2015-01-26,1151000000,134000000,0.24,0.24,null,653000000,null,null,null,null,null,null,null,null,null,null,498000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2015-07-26,2015-04-27,1153000000,26000000,0.05,0.05,null,634000000,null,null,null,null,null,null,null,null,null,null,519000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2015-10-25,2015-07-27,1305000000,247000000,0.45,0.44,null,733000000,null,null,null,null,null,null,null,null,null,null,572000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2016-01-31,2015-01-26,5010000000,614000000,1.13,1.08,747000000,2811000000,1331000000,602000000,null,null,null,null,1175000000,null,null,null,2199000000,2064000000,129000000,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2016-01-31,2015-10-26,1401000000,207000000,0.38,0.35,null,791000000,null,null,null,null,null,null,null,null,null,null,610000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2015-01-25,,null,null,null,null,null,null,null,null,7201000000,2783000000,4418000000,497000000,null,null,1384000000,null,null,null,null,474000000
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2016-01-31,,null,null,null,null,null,null,null,null,7370000000,2814000000,4469000000,596000000,null,null,1413000000,null,null,null,null,505000000
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2013-01-27,,null,null,null,null,null,null,null,null,null,null,4827000000,733000000,null,null,null,null,null,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2014-01-26,,null,null,null,null,null,null,null,null,null,null,4455000000,1152000000,null,null,null,null,null,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2015-01-25,2014-01-27,4682000000,631000000,1.14,1.12,759000000,2599000000,1360000000,480000000,null,null,null,null,906000000,null,null,null,2083000000,1840000000,124000000,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2015-04-26,2015-01-26,1151000000,134000000,0.24,0.24,null,653000000,null,null,null,null,null,null,null,null,null,null,498000000,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2015-07-26,2015-04-27,1153000000,26000000,0.05,0.05,null,634000000,null,null,null,null,null,null,null,null,null,null,519000000,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2015-10-25,2015-07-27,1305000000,247000000,0.45,0.44,null,733000000,null,null,null,null,null,null,null,null,null,null,572000000,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-01-31,2015-01-26,5010000000,614000000,1.13,1.08,747000000,2811000000,1331000000,602000000,null,null,null,null,1175000000,null,null,null,2199000000,2064000000,129000000,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-01-31,2015-10-26,1401000000,207000000,0.38,0.35,null,791000000,null,null,null,null,null,null,null,null,null,null,610000000,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-05-01,2016-02-01,1305000000,208000000,0.39,0.35,null,751000000,null,null,null,null,null,null,318000000,null,null,null,554000000,null,33000000,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-07-31,2016-05-02,1428000000,261000000,0.49,0.41,null,826000000,null,null,null,null,null,null,201000000,null,null,null,602000000,null,56000000,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-10-30,2016-08-01,2004000000,542000000,1.01,0.83,null,1183000000,null,null,null,null,null,null,null,null,null,null,821000000,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2017-01-29,2016-02-01,6910000000,1666000000,3.08,2.57,1934000000,4063000000,1463000000,663000000,null,null,null,null,1672000000,null,null,null,2847000000,2129000000,239000000,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2017-01-29,2016-10-31,2173000000,655000000,1.18,0.99,null,1303000000,null,null,null,null,null,null,null,null,null,null,870000000,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-07-31,2016-02-01,null,469000000,0.88,0.76,null,null,null,null,null,null,null,null,519000000,null,null,null,null,null,89000000,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2016-01-31,,null,null,null,null,null,null,null,null,7370000000,2814000000,4469000000,596000000,null,null,0,null,null,null,null,505000000
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2017-01-29,,null,null,null,null,null,null,null,null,9841000000,4048000000,5762000000,1766000000,null,null,1983000000,null,null,null,null,826000000
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2014-01-26,,null,null,null,null,null,null,null,null,null,null,4455000000,1152000000,null,null,null,null,null,null,null,null
NVDA,0001045810,10-K,2017,FY,2017-03-01,0001045810-17-000027,2015-01-25,,null,null,null,null,null,null,null,null,null,null,4418000000,497000000,null,null,null,null,null,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2016-01-31,2015-01-26,5010000000,614000000,1.13,1.08,747000000,2811000000,1331000000,602000000,null,null,null,null,1175000000,null,null,null,2199000000,2064000000,129000000,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2016-05-01,2016-02-01,1305000000,208000000,0.39,0.35,null,751000000,null,null,null,null,null,null,null,null,null,null,554000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2016-07-31,2016-05-02,1428000000,261000000,0.49,0.41,null,826000000,null,null,null,null,null,null,null,null,null,null,602000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2016-10-30,2016-08-01,2004000000,542000000,1.01,0.83,null,1183000000,null,null,null,null,null,null,null,null,null,null,821000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2017-01-29,2016-02-01,6910000000,1666000000,3.08,2.57,1934000000,4063000000,1463000000,663000000,null,null,null,null,1672000000,null,null,null,2847000000,2129000000,239000000,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2017-01-29,2016-10-31,2173000000,655000000,1.18,0.99,null,1303000000,null,null,null,null,null,null,null,null,null,null,870000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2017-04-30,2017-01-30,1937000000,507000000,0.86,0.79,null,1150000000,null,null,null,null,null,null,null,null,null,null,787000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2017-07-30,2017-01-30,2230000000,583000000,0.98,0.92,null,1302000000,null,null,null,null,null,null,null,null,null,null,928000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2017-10-29,2017-07-31,2636000000,838000000,1.39,1.33,null,1569000000,null,null,null,null,null,null,null,null,null,null,1067000000,null,null,null
NVDA,0001045810,10-K,2018,FY,2018-02-28,0001045810-18-000010,2018-01-28,2017-01-30,9714000000,3047000000,5.09,4.82,3210000000,5822000000,1797000000,815000000,null,null,null,null,3502000000,null,null,null,3892000000,2612000000,149000000,null
